602	2	0	1	999	2	1	999	3	1	999	3	1.508241564	1	999	1	1	999	1	1	999	1	1	999	1
604	2	0	1	1	1	1	1	1	1	1	1	0.927735042	2	999	2	2	999	2	2	999	999	3	999	999
606	1	1	1	2	2	1	2	2	1	2	3	-0.233278004	1	2	2	1	3	3	1	2	2	1	3	3
610	2	0	3	3	3	2	2	2	3	3	2	0.347228519	2	2	2	999	2	2	999	1	999	999	2	999
614	2	0	3	3	3	2	2	2	3	2	2	-1.39429105	2	2	2	3	2	2	1	2	2	2	3	3
622	2	0	1	2	3	1	2	2	1	2	2	1.508241564	1	2	1	1	999	1	1	999	1	1	999	1
630	1	1	2	3	2	2	2	2	2	3	3	0.927735042	1	1	1	1	1	1	1	1	1	1	1	1
631	1	1	2	2	2	3	3	3	3	3	3	999	1	1	1	1	1	1	1	1	1	1	1	1
634	2	0	3	3	3	2	2	2	2	3	2	0.927735042	1	2	1	1	2	1	1	1	1	1	2	1
635	2	0	2	3	3	2	3	2	3	3	3	-0.813784527	1	2	2	1	2	3	1	2	2	1	3	3
637	2	0	2	2	999	3	3	999	3	3	999	-1.39429105	1	999	999	1	999	999	1	999	999	1	999	999
639	2	0	3	2	3	2	2	2	3	3	3	0.347228519	1	2	2	1	3	3	1	2	2	1	3	3
641	2	0	3	999	999	2	999	999	3	999	999	0.347228519	1	999	999	1	999	999	1	999	999	1	999	999
642	1	1	2	2	2	2	2	2	3	3	3	-0.233278004	1	2	1	1	2	1	1	2	1	1	3	1
643	1	1	3	3	3	2	2	2	3	3	3	0.347228519	1	1	2	1	1	999	1	1	999	1	1	999
648	1	1	2	3	3	999	3	3	999	3	3	-0.233278004	2	2	1	2	3	1	2	1	1	3	2	1
654	2	0	3	3	3	2	2	2	3	2	2	0.347228519	2	2	2	2	2	2	2	2	2	3	3	3
655	2	0	2	999	999	2	999	999	3	999	999	0.347228519	2	999	999	2	999	999	2	999	999	3	999	999
659	1	1	2	3	3	2	2	2	2	3	2	-0.233278004	1	2	2	1	3	2	1	2	1	1	3	2
662	1	1	3	2	2	3	3	2	3	3	3	-1.39429105	2	1	1	3	1	1	2	1	1	3	1	1
666	2	0	1	1	2	1	1	2	1	1	3	2.66925461	1	1	1	1	1	1	1	1	1	1	1	1
670	1	1	1	2	999	1	2	999	1	3	999	-0.813784527	1	1	999	1	1	999	1	1	999	1	1	999
675	2	0	2	1	2	2	1	2	2	1	3	0.927735042	2	2	2	2	2	2	1	2	2	2	3	3
680	1	1	3	999	3	2	999	3	3	999	3	-0.813784527	2	2	2	3	2	3	1	999	2	2	999	3
682	2	0	3	3	3	3	2	2	3	2	3	0.347228519	2	2	2	3	2	2	1	2	1	2	3	2
694	1	1	1	2	1	1	2	1	1	2	1	-0.233278004	1	1	1	1	1	1	1	1	1	1	1	1
695	1	1	3	2	2	3	3	3	3	3	3	0.347228519	2	2	2	3	3	3	1	1	2	2	2	3
698	2	0	2	999	999	2	999	999	2	999	999	1.508241564	1	999	999	1	999	999	1	999	999	1	999	999
703	2	0	2	2	2	2	2	2	3	3	3	0.347228519	2	2	2	3	3	2	1	2	2	2	3	3
704	2	0	3	3	3	2	2	2	3	2	2	-0.233278004	1	1	1	1	1	1	1	1	1	1	1	1
705	2	0	3	3	2	2	2	2	3	2	2	-0.813784527	1	2	2	1	2	2	1	2	1	1	3	2
708	2	0	2	999	999	2	999	999	3	999	999	-0.233278004	999	999	999	1	999	999	999	999	999	999	999	999
709	2	0	3	3	3	3	2	2	3	3	3	-1.974797573	2	2	2	3	3	3	2	2	2	3	3	3
717	1	1	3	3	2	2	3	3	3	3	3	0.347228519	1	1	2	1	1	3	1	1	2	1	1	3
720	1	1	2	3	3	2	2	2	3	2	2	-1.39429105	2	2	2	3	2	2	2	2	2	3	3	3
721	2	0	2	2	999	2	2	999	2	3	999	0.347228519	1	1	999	1	1	999	1	1	999	1	1	999
725	2	0	3	3	3	2	2	2	3	2	2	-0.233278004	2	2	2	2	2	2	1	2	1	2	3	2
729	1	1	3	2	3	3	3	2	3	3	3	0.927735042	2	1	2	3	1	3	2	1	1	3	1	2
731	1	1	2	3	2	3	2	3	3	3	3	-1.39429105	1	2	2	1	2	3	1	1	1	1	2	2
733	2	0	1	1	999	1	1	999	1	1	999	999	1	1	999	1	1	999	1	1	999	1	1	999
735	2	0	1	2	2	1	2	2	1	3	2	0.347228519	1	1	1	1	1	1	1	1	1	1	1	1
738	1	1	2	2	2	2	2	3	3	3	3	0.347228519	1	1	1	1	1	1	1	1	1	1	1	1
742	2	0	2	2	3	3	2	2	3	3	3	-0.813784527	1	1	1	1	1	1	1	1	1	1	1	1
745	1	1	3	3	2	2	2	3	3	2	3	-0.813784527	1	2	2	1	2	3	1	1	1	1	2	2
747	1	1	2	3	3	2	2	3	3	3	3	-0.813784527	2	2	2	3	3	3	1	1	1	2	2	2
754	1	1	3	999	3	2	999	3	3	999	3	-0.813784527	2	999	2	2	999	3	2	999	2	3	999	3
757	2	0	3	3	3	3	2	2	3	3	3	-1.974797573	2	2	2	2	2	3	1	2	2	2	3	3
762	2	0	2	3	3	2	2	2	3	2	2	0.927735042	1	1	2	1	1	2	1	1	1	1	1	2
764	1	1	3	2	3	3	3	2	3	3	2	-1.974797573	2	2	2	3	3	3	1	1	2	2	2	3
767	2	0	3	3	3	2	2	2	3	3	2	0.347228519	2	2	2	2	3	2	2	2	2	3	3	3
769	2	0	3	3	3	2	3	2	2	3	3	-0.813784527	2	2	2	2	3	3	1	1	2	2	2	3
773	1	1	3	999	999	3	999	999	3	999	999	-0.813784527	2	999	999	3	999	999	2	999	999	3	999	999
774	2	0	3	3	2	2	2	2	3	3	3	0.347228519	1	1	1	1	1	1	1	1	1	1	1	1
784	1	1	3	3	2	2	2	2	3	3	2	-0.233278004	2	2	2	2	2	2	1	1	1	2	2	2
789	1	1	3	2	2	3	2	2	3	3	3	-0.813784527	2	2	2	3	2	2	1	1	2	2	2	3
792	1	1	3	3	1	3	3	1	3	3	1	-0.813784527	999	2	1	999	3	1	999	2	1	999	3	1
795	2	0	3	3	3	3	3	3	3	3	3	-1.39429105	2	2	2	3	3	3	999	1	999	999	2	999
797	2	0	3	3	3	3	3	3	3	3	3	0.347228519	1	1	1	1	1	1	1	1	1	1	1	1
799	1	1	2	2	2	2	2	2	2	3	2	-0.233278004	1	1	1	1	1	1	1	1	1	1	1	1
803	1	1	3	999	3	2	999	3	3	999	3	0.347228519	2	999	2	3	999	3	1	999	1	2	999	2
804	1	1	2	3	999	2	3	999	3	3	999	-1.974797573	1	1	999	1	1	999	1	1	999	1	1	999
805	1	1	3	3	3	2	2	2	2	2	3	-0.233278004	2	2	2	2	2	3	1	1	2	2	2	3
809	2	0	3	3	2	2	2	2	3	3	2	-0.233278004	1	2	2	1	3	2	1	2	2	1	3	3
810	1	1	2	3	999	2	2	999	3	3	999	-0.813784527	1	1	999	1	1	999	1	1	999	1	1	999
811	2	0	3	3	3	2	2	2	3	2	2	-1.974797573	2	2	2	2	3	2	2	999	999	3	999	999
818	2	0	3	3	2	2	2	2	3	3	2	-0.233278004	1	2	2	1	2	2	1	1	999	1	2	999
819	1	1	2	2	2	3	3	2	3	3	3	-1.39429105	999	2	2	3	3	3	2	2	2	999	3	3
824	2	0	2	3	3	2	2	2	3	3	3	0.927735042	1	1	2	1	1	1	1	1	999	1	1	999
836	1	1	3	3	3	2	2	2	2	2	3	0.347228519	2	2	2	2	2	2	2	2	2	3	3	3
837	1	1	3	2	999	2	2	999	3	3	999	-0.233278004	2	2	999	3	3	999	999	999	999	999	999	999
838	2	0	3	3	2	2	2	2	3	3	3	-0.813784527	2	2	2	3	2	2	2	1	1	3	2	2
