stu_id,x1stdob,x1ses,x1sex,x1race,x1par1edu,x1par2edu,x1mtscor,x2mtscor,x3gpa9,x3gpaacd,x1parexp,s1eduexp,s2eduexp,s4eduexp
30125,199500,NA,1,3,NA,NA,NA,59.1246,3,2.5,NA,NA,3,3
30128,199503,0.1444,1,8,NA,NA,37.2308,46.0407,3,2.5,NA,NA,3,NA
30129,199411,-1.3274,1,5,1,1,44.3663,NA,2,2,8,2,NA,NA
30130,199509,-0.3706,2,6,3,NA,45.5662,51.2118,2.5,3,6,6,3,6
30131,199412,-0.3875,2,3,2,4,55.0944,50.9696,3.5,3.5,8,2,5,5
30132,199506,-0.4605,2,4,1,2,49.0874,48.2244,3.5,2.5,6,NA,4,NA
30134,199500,NA,2,NA,NA,NA,NA,57.0188,3,3,NA,NA,NA,5
30135,199505,1.3904,1,8,7,4,62.4496,61.5814,3.5,4,10,6,6,6
30136,199501,0.1722,1,8,3,3,39.7625,48.2263,2.5,2.5,4,2,3,NA
30137,199507,-0.3882,1,5,2,2,53.5504,47.8708,3.5,3.5,11,5,5,NA
30138,199411,0.9395,2,6,4,4,70.5599,67.0719,3.5,3.5,8,4,NA,6
30139,199503,-0.3124,2,3,NA,NA,51.1783,53.9662,3.5,3.5,NA,6,6,6
30140,199502,0.1465,1,2,NA,NA,53.5175,55.592,3,2.5,NA,4,4,4
30141,199311,0.2972,1,3,4,NA,43.2424,45.5173,0.5,0.25,10,3,5,NA
30142,199405,-0.9659,1,1,1,1,44.9218,NA,1,2,2,2,NA,NA
30143,199502,-1.0862,1,8,2,NA,43.5346,40.3271,2,1.5,11,3,2,NA
30144,199409,0.2056,1,2,NA,NA,49.7971,46.7851,0.25,0.25,NA,NA,2,3
30145,199507,0.0447,2,8,2,NA,55.5265,64.5067,3.5,3.5,11,NA,NA,4
30146,199411,0.6427,1,8,4,4,64.9591,57.8974,NA,NA,11,5,4,NA
30147,199408,-0.7161,2,5,2,NA,33.4578,NA,1.5,1,2,NA,NA,5
